base_feature,derived,type,window
二氧化硫_实测值,二氧化硫_实测值_lag1,lag,1
二氧化硫_实测值,二氧化硫_实测值_diff1,diff,1
二氧化硫_实测值,二氧化硫_实测值_rate1,change_rate,1
二氧化硫_实测值,二氧化硫_实测值_roll_mean_5,rolling_mean,5
二氧化硫_实测值,二氧化硫_实测值_roll_std_5,rolling_std,5
二氧化硫_实测值,二氧化硫_实测值_roll_min_5,rolling_min,5
二氧化硫_实测值,二氧化硫_实测值_roll_max_5,rolling_max,5
二氧化硫_实测值,二氧化硫_实测值_amp_5,amplitude,5
二氧化硫_实测值,二氧化硫_实测值_roll_mean_10,rolling_mean,10
二氧化硫_实测值,二氧化硫_实测值_roll_std_10,rolling_std,10
二氧化硫_实测值,二氧化硫_实测值_roll_min_10,rolling_min,10
二氧化硫_实测值,二氧化硫_实测值_roll_max_10,rolling_max,10
二氧化硫_实测值,二氧化硫_实测值_amp_10,amplitude,10
二氧化硫_实测值,二氧化硫_实测值_roll_mean_30,rolling_mean,30
二氧化硫_实测值,二氧化硫_实测值_roll_std_30,rolling_std,30
二氧化硫_实测值,二氧化硫_实测值_roll_min_30,rolling_min,30
二氧化硫_实测值,二氧化硫_实测值_roll_max_30,rolling_max,30
二氧化硫_实测值,二氧化硫_实测值_amp_30,amplitude,30
二氧化硫_实测值,二氧化硫_实测值_roll_mean_60,rolling_mean,60
二氧化硫_实测值,二氧化硫_实测值_roll_std_60,rolling_std,60
二氧化硫_实测值,二氧化硫_实测值_roll_min_60,rolling_min,60
二氧化硫_实测值,二氧化硫_实测值_roll_max_60,rolling_max,60
二氧化硫_实测值,二氧化硫_实测值_amp_60,amplitude,60
废气排放量m3,废气排放量m3_lag1,lag,1
废气排放量m3,废气排放量m3_diff1,diff,1
废气排放量m3,废气排放量m3_rate1,change_rate,1
废气排放量m3,废气排放量m3_roll_mean_5,rolling_mean,5
废气排放量m3,废气排放量m3_roll_std_5,rolling_std,5
废气排放量m3,废气排放量m3_roll_min_5,rolling_min,5
废气排放量m3,废气排放量m3_roll_max_5,rolling_max,5
废气排放量m3,废气排放量m3_amp_5,amplitude,5
废气排放量m3,废气排放量m3_roll_mean_10,rolling_mean,10
废气排放量m3,废气排放量m3_roll_std_10,rolling_std,10
