feature,importance
烟气湿度,253.0
烟尘_实测值,242.0
氧含量,204.0
折算值_roll_max_10,159.0
排放量kg,142.0
烟尘_实测值_rate1,136.0
烟气湿度_amp_5,129.0
氧含量_roll_min_5,109.0
烟尘_实测值_roll_mean_60,94.0
烟气湿度_diff1,94.0
烟尘_实测值_roll_min_30,93.0
烟尘_实测值_roll_min_5,83.0
折算值,80.0
排放量kg_amp_5,78.0
烟尘_实测值_lag1,76.0
烟尘_实测值_roll_min_60,75.0
排放量kg_rate1,75.0
烟气湿度_rate1,71.0
排放量kg_roll_min_5,69.0
烟尘_实测值_amp_5,68.0
烟气湿度_roll_min_5,64.0
折算值_diff1,64.0
排放量kg_roll_std_60,64.0
hour,63.0
烟气温度_diff1,63.0
排放量kg_lag1,63.0
烟尘_实测值_diff1,62.0
烟尘_实测值_roll_mean_5,61.0
烟气湿度_roll_std_5,61.0
废气排放量m3_roll_max_10,60.0
氧含量_amp_30,60.0
烟尘_实测值_roll_max_5,60.0
烟尘_实测值_roll_std_60,60.0
烟气湿度_roll_max_30,59.0
氧含量_diff1,58.0
排放量kg_roll_std_30,57.0
烟气压力_amp_30,56.0
烟尘_实测值_roll_std_30,55.0
排放量kg_diff1,55.0
废气排放量m3_amp_10,53.0
排放量kg_roll_min_10,53.0
烟尘_实测值_roll_mean_10,51.0
折算值_rate1,51.0
排放量kg_roll_std_5,51.0
排放量kg_roll_min_60,49.0
烟尘_实测值_roll_std_5,48.0
烟气压力_roll_min_30,48.0
烟气温度_rate1,48.0
烟气湿度_lag1,48.0
排放量kg_roll_mean_30,47.0
烟气压力_rate1,46.0
折算值_roll_std_30,46.0
排放量kg_roll_max_5,46.0
烟尘_实测值_roll_min_10,45.0
烟气压力_lag1,45.0
烟气温度,44.0
烟尘_实测值_roll_std_10,44.0
烟尘_实测值_roll_mean_30,44.0
烟尘_实测值_amp_30,44.0
排放量kg_roll_mean_5,44.0
烟气压力,43.0
氧含量_rate1,41.0
废气排放量m3,40.0
