feature,importance
氧含量_roll_std_5,8.825641079570497
烟气湿度_amp_5,8.56158662511465
烟气湿度_roll_std_10,8.413349623686567
烟气湿度,7.390418510023368
烟气湿度_roll_std_5,7.200645638075833
烟气湿度_roll_mean_60,6.964708142071746
烟气湿度_roll_std_30,6.787399925342725
烟气湿度_amp_10,6.483096220196639
氧含量_roll_std_10,6.453486962970503
烟气湿度_roll_mean_30,5.666495717592171
生产设施工况_生产设施故障,5.662854554236179
氧含量_amp_5,4.884779167825447
烟气湿度_lag1,4.8315562831000465
烟气湿度_roll_min_10,4.493150018189427
氧含量_roll_max_5,4.252858868449141
烟气湿度_roll_min_5,3.8887902296658856
氧含量,3.4754917365064615
烟气湿度_amp_30,3.3812137762922863
烟气湿度_roll_max_5,3.348224910107526
生产设施工况_启炉过程,3.1331379039052574
烟气湿度_roll_mean_10,3.1317940519842455
烟气湿度_roll_min_30,3.1237907811709746
氧含量_roll_mean_5,3.06382209871098
烟气湿度_diff1,2.840286349364382
烟尘_实测值_roll_std_5,2.628951777991695
氧含量_roll_mean_10,2.541858380577766
生产设施工况_停炉过程,2.4624503106358664
烟气压力_roll_mean_5,2.3877330241285994
氮氧化物_实测值_roll_std_10,2.354849512590853
烟气湿度_roll_std_60,2.2906659158020504
氧含量_roll_max_10,2.2556250405073497
氮氧化物_实测值_roll_mean_10,2.2204899905053725
烟气温度_amp_30,2.180899069590838
氧含量_amp_10,2.1761211317301026
氧含量_roll_mean_30,2.1728593930008406
氧含量_roll_min_5,2.110314127840953
烟气压力_roll_mean_10,2.0309336663810598
氧含量_roll_max_60,1.9193940143475101
氮氧化物_实测值_roll_mean_60,1.919257131918523
烟气温度_roll_mean_10,1.911293237627386
烟气温度_roll_std_60,1.77517332420275
氮氧化物_实测值_roll_mean_5,1.7388006638633027
废气排放量m3_roll_std_10,1.7064071232253424
排放量kg_roll_std_10,1.6886540421601157
烟气流速_roll_std_60,1.6323437448159153
烟气压力_roll_max_10,1.6193150160836773
烟气温度_roll_max_30,1.6016162695889427
