column,missing_ratio,dtype
氧含量,0.6122299851491833,float64
折算值,0.6122299851491833,float64
二氧化硫_实测值,0.6122299851491833,float64
氮氧化物_实测值,0.6122299851491833,float64
outlet_id,0.4580801944106926,object
file_start_date,0.4580801944106926,object
file_end_date,0.4580801944106926,object
烟气流速,0.001242912110166059,float64
烟气湿度,0.001242912110166059,float64
烟气压力,0.001242912110166059,float64
排放量kg,0.001242912110166059,float64
烟尘_实测值,0.001242912110166059,float64
废气排放量m3,0.001242912110166059,float64
烟气温度,0.001242912110166059,float64
治理工艺,0.0,object
title_start_time,0.0,object
label_anomaly,0.0,int64
source_path,0.0,object
title_end_time,0.0,object
监控时间,0.0,datetime64[ns]
title_outlet,0.0,object
process_hint,0.0,object
生产设施工况,0.0,object
point_name_hint,0.0,object
source_file,0.0,object
source_folder,0.0,object
人工,0.0,object
设备维护标记_自动,0.0,object
设备维护标记_人工,0.0,object
label_is_maintenance,0.0,int64
