,count,mean,std,min,5%,25%,50%,75%,95%,max
废气排放量m3,57600.0,18214.39276198681,5492.529705620593,1041.0409598,11879.81845,13332.390625,14172.57225,24287.3789,24433.32347,24522.9074771
烟尘_实测值,57600.0,1.4645744210659724,0.5119272462038248,0.061799,0.8528,1.1089,1.3477,1.7519,2.4465049999999993,3.8937433000001236
排放量kg,57600.0,0.025762639784722225,0.009190502397645689,0.0004,0.0122,0.0198,0.0254,0.0309,0.0418,0.06518020000000106
烟气流速,57600.0,13.95367528478472,3.005598663334877,0.8123326000000001,10.15299,11.526675000000001,11.96055,16.889225,17.470705,17.98704160000001
烟气温度,57600.0,61.832989688326386,21.116003481984436,31.0174366,40.0146,44.2997,57.930899999999994,65.29332500000001,103.907105,105.40515560000009
烟气湿度,57600.0,5.774085222722222,9.247534270186621,0.0425198,0.2099,1.033825,1.5908,3.20755,26.128804999999996,27.28912380000002
烟气压力,57600.0,-0.1013587925625,0.044091515096136354,-0.1930802,-0.1678,-0.1359,-0.1045,-0.0651,-0.0275,-0.0128
折算值,57600.0,0.9509506621423615,0.1423266029643578,0.004542400000000004,0.854,0.95325,0.95325,0.95325,1.0727049999999996,4.743643000000327
二氧化硫_实测值,57600.0,14.609667136505207,4.988153122353756,0.0,9.785530000000001,13.983699999999999,13.983699999999999,13.983699999999999,20.681574999999984,73.25510570000054
氮氧化物_实测值,57600.0,34.50034446624653,4.142639693875118,0.032737,27.7538,34.570800000000006,34.570800000000006,34.570800000000006,40.559769999999986,56.68134080000001
氧含量,57600.0,14.253345184769096,0.35540681229496257,0.0,14.0529,14.26145,14.26145,14.26145,14.45061,17.69138570000001
label_anomaly,57600.0,0.014097222222222223,0.11789288292881539,0.0,0.0,0.0,0.0,0.0,0.0,1.0
label_is_maintenance,57600.0,0.013142361111111112,0.11388531348157734,0.0,0.0,0.0,0.0,0.0,0.0,1.0
